,agemid,low95,median,up95,,low95,median,up95,
1,42,7.27E-05,0.004023861,0.056214896,,0.66,36.71,512.85,(% over the entire season)
2,47,7.27E-05,0.004023861,0.056214896,,0.22,12.24,170.95,(% per month)
3,53,7.27E-05,0.004023861,0.056214896,,0.01,0.4,5.62,(% per day)
4,59,7.27E-05,0.004023861,0.056214896,,,,,
5,85,7.27E-05,0.004023861,0.056214896,,,,,
6,96,7.27E-05,0.004023861,0.056214896,,,,,
7,98,7.27E-05,0.004023861,0.056214896,,,,,
8,110,7.27E-05,0.004023861,0.056214896,,,,,
9,141,7.27E-05,0.004023861,0.056214896,,,,,
10,146,7.27E-05,0.004023861,0.056214896,,,,,
11,158,7.27E-05,0.004023861,0.056214896,,,,,
12,159,7.27E-05,0.004023861,0.056214896,,,,,
13,206,7.27E-05,0.004023861,0.056214896,,,,,
14,214,7.27E-05,0.004023861,0.056214896,,,,,
15,216,7.27E-05,0.004023861,0.056214896,,,,,
16,224,7.27E-05,0.004023861,0.056214896,,,,,
17,257,7.27E-05,0.004023861,0.056214896,,,,,
18,266,7.27E-05,0.004023861,0.056214896,,,,,
19,271,7.27E-05,0.004023861,0.056214896,,,,,
20,276,7.27E-05,0.004023861,0.056214896,,,,,
21,330,7.27E-05,0.004023861,0.056214896,,,,,
22,336,7.27E-05,0.004023861,0.056214896,,,,,
23,340,7.27E-05,0.004023861,0.056214896,,,,,
24,343,7.27E-05,0.004023861,0.056214896,,,,,
25,375,7.27E-05,0.004023861,0.056214896,,,,,
26,379,7.27E-05,0.004023861,0.056214896,,,,,
27,385,7.27E-05,0.004023861,0.056214896,,,,,
28,432,7.27E-05,0.004023861,0.056214896,,,,,
29,453,7.27E-05,0.004023861,0.056214896,,,,,
30,460,7.27E-05,0.004023861,0.056214896,,,,,
31,464,7.27E-05,0.004023861,0.056214896,,,,,
32,510,7.27E-05,0.004023861,0.056214896,,,,,
33,516,7.27E-05,0.004023861,0.056214896,,,,,
34,531,7.27E-05,0.004023861,0.056214896,,,,,
35,534,7.27E-05,0.004023861,0.056214896,,,,,
36,571,7.27E-05,0.004023861,0.056214896,,,,,
37,586,7.27E-05,0.004023861,0.056214896,,,,,
38,588,7.27E-05,0.004023861,0.056214896,,,,,
39,629,7.27E-05,0.004023861,0.056214896,,,,,
40,631,7.27E-05,0.004023861,0.056214896,,,,,
41,647,7.27E-05,0.004023861,0.056214896,,,,,
42,690,7.27E-05,0.004023861,0.056214896,,,,,
43,693,7.27E-05,0.004023861,0.056214896,,,,,
44,706,7.27E-05,0.004023861,0.056214896,,,,,
45,722,7.27E-05,0.004023861,0.056214896,,,,,
46,770,7.27E-05,0.004023861,0.056214896,,,,,
47,780,7.27E-05,0.004023861,0.056214896,,,,,
48,850,7.27E-05,0.004023861,0.056214896,,,,,
49,857,7.27E-05,0.004023861,0.056214896,,,,,
50,980,7.27E-05,0.004023861,0.056214896,,,,,
51,997,7.27E-05,0.004023861,0.056214896,,,,,
52,1014,7.27E-05,0.004023861,0.056214896,,,,,
53,1052,7.27E-05,0.004023861,0.056214896,,,,,
54,1134,7.27E-05,0.004023861,0.056214896,,,,,
55,1176,7.27E-05,0.004023861,0.056214896,,,,,
56,1188,7.27E-05,0.004023861,0.056214896,,,,,
57,1226,7.27E-05,0.004023861,0.056214896,,,,,
58,1348,7.27E-05,0.004023861,0.056214896,,,,,
59,1356,7.27E-05,0.004023861,0.056214896,,,,,
60,1377,7.27E-05,0.004023861,0.056214896,,,,,
61,1389,7.27E-05,0.004023861,0.056214896,,,,,
62,1519,7.27E-05,0.004023861,0.056214896,,,,,
63,1526,7.27E-05,0.004023861,0.056214896,,,,,
64,1564,7.27E-05,0.004023861,0.056214896,,,,,
65,1592,7.27E-05,0.004023861,0.056214896,,,,,
66,1676,7.27E-05,0.004023861,0.056214896,,,,,
67,1721,7.27E-05,0.004023861,0.056214896,,,,,
68,1755,7.27E-05,0.004023861,0.056214896,,,,,
69,1807,7.27E-05,0.004023861,0.056214896,,,,,
70,1833,7.27E-05,0.004023861,0.056214896,,,,,
71,1841,7.27E-05,0.004023861,0.056214896,,,,,
72,1848,7.27E-05,0.004023861,0.056214896,,,,,
