,agemid,low95,median,up95,,,,,
1,42,2.78E-05,0.00077856,0.003538816,,0.08,2.37,10.76,(%/month)
2,47,2.78E-05,0.00077856,0.003538816,,,,,
3,53,2.78E-05,0.00077856,0.003538816,,,,,
4,59,2.78E-05,0.00077856,0.003538816,,,,,
5,85,2.78E-05,0.00077856,0.003538816,,,,,
6,96,2.78E-05,0.00077856,0.003538816,,,,,
7,98,2.78E-05,0.00077856,0.003538816,,,,,
8,110,2.78E-05,0.00077856,0.003538816,,,,,
9,141,2.78E-05,0.00077856,0.003538816,,,,,
10,146,2.78E-05,0.00077856,0.003538816,,,,,
11,158,2.78E-05,0.00077856,0.003538816,,,,,
12,159,2.78E-05,0.00077856,0.003538816,,,,,
13,206,2.78E-05,0.00077856,0.003538816,,,,,
14,214,2.78E-05,0.00077856,0.003538816,,,,,
15,216,2.78E-05,0.00077856,0.003538816,,,,,
16,224,2.78E-05,0.00077856,0.003538816,,,,,
17,257,2.78E-05,0.00077856,0.003538816,,,,,
18,266,2.78E-05,0.00077856,0.003538816,,,,,
19,271,2.78E-05,0.00077856,0.003538816,,,,,
20,276,2.78E-05,0.00077856,0.003538816,,,,,
21,330,2.78E-05,0.00077856,0.003538816,,,,,
22,336,2.78E-05,0.00077856,0.003538816,,,,,
23,340,2.78E-05,0.00077856,0.003538816,,,,,
24,343,2.78E-05,0.00077856,0.003538816,,,,,
25,375,2.78E-05,0.00077856,0.003538816,,,,,
26,379,2.78E-05,0.00077856,0.003538816,,,,,
27,385,2.78E-05,0.00077856,0.003538816,,,,,
28,432,2.78E-05,0.00077856,0.003538816,,,,,
29,453,2.78E-05,0.00077856,0.003538816,,,,,
30,460,2.78E-05,0.00077856,0.003538816,,,,,
31,464,2.78E-05,0.00077856,0.003538816,,,,,
32,510,2.78E-05,0.00077856,0.003538816,,,,,
33,516,2.78E-05,0.00077856,0.003538816,,,,,
34,531,2.78E-05,0.00077856,0.003538816,,,,,
35,534,2.78E-05,0.00077856,0.003538816,,,,,
36,571,2.78E-05,0.00077856,0.003538816,,,,,
37,586,2.78E-05,0.00077856,0.003538816,,,,,
38,588,2.78E-05,0.00077856,0.003538816,,,,,
39,629,2.78E-05,0.00077856,0.003538816,,,,,
40,631,2.78E-05,0.00077856,0.003538816,,,,,
41,647,2.78E-05,0.00077856,0.003538816,,,,,
42,690,2.78E-05,0.00077856,0.003538816,,,,,
43,693,2.78E-05,0.00077856,0.003538816,,,,,
44,706,2.78E-05,0.00077856,0.003538816,,,,,
45,722,2.78E-05,0.00077856,0.003538816,,,,,
46,770,2.78E-05,0.00077856,0.003538816,,,,,
47,780,2.78E-05,0.00077856,0.003538816,,,,,
48,850,2.78E-05,0.00077856,0.003538816,,,,,
49,857,2.78E-05,0.00077856,0.003538816,,,,,
50,980,2.78E-05,0.00077856,0.003538816,,,,,
51,997,2.78E-05,0.00077856,0.003538816,,,,,
52,1014,2.78E-05,0.00077856,0.003538816,,,,,
53,1052,2.78E-05,0.00077856,0.003538816,,,,,
54,1134,2.78E-05,0.00077856,0.003538816,,,,,
55,1176,2.78E-05,0.00077856,0.003538816,,,,,
56,1188,2.78E-05,0.00077856,0.003538816,,,,,
57,1226,2.78E-05,0.00077856,0.003538816,,,,,
58,1348,2.78E-05,0.00077856,0.003538816,,,,,
59,1356,2.78E-05,0.00077856,0.003538816,,,,,
60,1377,2.78E-05,0.00077856,0.003538816,,,,,
61,1389,2.78E-05,0.00077856,0.003538816,,,,,
62,1519,2.78E-05,0.00077856,0.003538816,,,,,
63,1526,2.78E-05,0.00077856,0.003538816,,,,,
64,1564,2.78E-05,0.00077856,0.003538816,,,,,
65,1592,2.78E-05,0.00077856,0.003538816,,,,,
66,1676,2.78E-05,0.00077856,0.003538816,,,,,
67,1721,2.78E-05,0.00077856,0.003538816,,,,,
68,1755,2.78E-05,0.00077856,0.003538816,,,,,
69,1807,2.78E-05,0.00077856,0.003538816,,,,,
70,1833,2.78E-05,0.00077856,0.003538816,,,,,
71,1841,2.78E-05,0.00077856,0.003538816,,,,,
72,1848,2.78E-05,0.00077856,0.003538816,,,,,
