,agemid,low95,median,up95,,,,,
1,42,7.05E-05,0.001928653,0.013310025,,0.21,5.87,40.48,(%/month)
2,47,7.05E-05,0.001928653,0.013310025,,,,,
3,53,7.05E-05,0.001928653,0.013310025,,,,,
4,59,7.05E-05,0.001928653,0.013310025,,,,,
5,85,7.05E-05,0.001928653,0.013310025,,,,,
6,96,7.05E-05,0.001928653,0.013310025,,,,,
7,98,7.05E-05,0.001928653,0.013310025,,,,,
8,110,7.05E-05,0.001928653,0.013310025,,,,,
9,141,7.05E-05,0.001928653,0.013310025,,,,,
10,146,7.05E-05,0.001928653,0.013310025,,,,,
11,158,7.05E-05,0.001928653,0.013310025,,,,,
12,159,7.05E-05,0.001928653,0.013310025,,,,,
13,206,7.05E-05,0.001928653,0.013310025,,,,,
14,214,7.05E-05,0.001928653,0.013310025,,,,,
15,216,7.05E-05,0.001928653,0.013310025,,,,,
16,224,7.05E-05,0.001928653,0.013310025,,,,,
17,257,7.05E-05,0.001928653,0.013310025,,,,,
18,266,7.05E-05,0.001928653,0.013310025,,,,,
19,271,7.05E-05,0.001928653,0.013310025,,,,,
20,276,7.05E-05,0.001928653,0.013310025,,,,,
21,330,7.05E-05,0.001928653,0.013310025,,,,,
22,336,7.05E-05,0.001928653,0.013310025,,,,,
23,340,7.05E-05,0.001928653,0.013310025,,,,,
24,343,7.05E-05,0.001928653,0.013310025,,,,,
25,375,7.05E-05,0.001928653,0.013310025,,,,,
26,379,7.05E-05,0.001928653,0.013310025,,,,,
27,385,7.05E-05,0.001928653,0.013310025,,,,,
28,432,7.05E-05,0.001928653,0.013310025,,,,,
29,453,7.05E-05,0.001928653,0.013310025,,,,,
30,460,7.05E-05,0.001928653,0.013310025,,,,,
31,464,7.05E-05,0.001928653,0.013310025,,,,,
32,510,7.05E-05,0.001928653,0.013310025,,,,,
33,516,7.05E-05,0.001928653,0.013310025,,,,,
34,531,7.05E-05,0.001928653,0.013310025,,,,,
35,534,7.05E-05,0.001928653,0.013310025,,,,,
36,571,7.05E-05,0.001928653,0.013310025,,,,,
37,586,7.05E-05,0.001928653,0.013310025,,,,,
38,588,7.05E-05,0.001928653,0.013310025,,,,,
39,629,7.05E-05,0.001928653,0.013310025,,,,,
40,631,7.05E-05,0.001928653,0.013310025,,,,,
41,647,7.05E-05,0.001928653,0.013310025,,,,,
42,690,7.05E-05,0.001928653,0.013310025,,,,,
43,693,7.05E-05,0.001928653,0.013310025,,,,,
44,706,7.05E-05,0.001928653,0.013310025,,,,,
45,722,7.05E-05,0.001928653,0.013310025,,,,,
46,770,7.05E-05,0.001928653,0.013310025,,,,,
47,780,7.05E-05,0.001928653,0.013310025,,,,,
48,850,7.05E-05,0.001928653,0.013310025,,,,,
49,857,7.05E-05,0.001928653,0.013310025,,,,,
50,980,7.05E-05,0.001928653,0.013310025,,,,,
51,997,7.05E-05,0.001928653,0.013310025,,,,,
52,1014,7.05E-05,0.001928653,0.013310025,,,,,
53,1052,7.05E-05,0.001928653,0.013310025,,,,,
54,1134,7.05E-05,0.001928653,0.013310025,,,,,
55,1176,7.05E-05,0.001928653,0.013310025,,,,,
56,1188,7.05E-05,0.001928653,0.013310025,,,,,
57,1226,7.05E-05,0.001928653,0.013310025,,,,,
58,1348,7.05E-05,0.001928653,0.013310025,,,,,
59,1356,7.05E-05,0.001928653,0.013310025,,,,,
60,1377,7.05E-05,0.001928653,0.013310025,,,,,
61,1389,7.05E-05,0.001928653,0.013310025,,,,,
62,1519,7.05E-05,0.001928653,0.013310025,,,,,
63,1526,7.05E-05,0.001928653,0.013310025,,,,,
64,1564,7.05E-05,0.001928653,0.013310025,,,,,
65,1592,7.05E-05,0.001928653,0.013310025,,,,,
66,1676,7.05E-05,0.001928653,0.013310025,,,,,
67,1721,7.05E-05,0.001928653,0.013310025,,,,,
68,1755,7.05E-05,0.001928653,0.013310025,,,,,
69,1807,7.05E-05,0.001928653,0.013310025,,,,,
70,1833,7.05E-05,0.001928653,0.013310025,,,,,
71,1841,7.05E-05,0.001928653,0.013310025,,,,,
72,1848,7.05E-05,0.001928653,0.013310025,,,,,
