,agemid,low95,median,up95,,,,,
1,42,0.000226524,0.00664045,0.054624548,,0.688858652,20.19360808,166.1132497,(%/month)
2,47,0.000226524,0.00664045,0.054624548,,,,,
3,53,0.000226524,0.00664045,0.054624548,,,,,
4,59,0.000226524,0.00664045,0.054624548,,,,,
5,85,0.000226524,0.00664045,0.054624548,,,,,
6,96,0.000226524,0.00664045,0.054624548,,,,,
7,98,0.000226524,0.00664045,0.054624548,,,,,
8,110,0.000226524,0.00664045,0.054624548,,,,,
9,141,0.000226524,0.00664045,0.054624548,,,,,
10,146,0.000226524,0.00664045,0.054624548,,,,,
11,158,0.000226524,0.00664045,0.054624548,,,,,
12,159,0.000226524,0.00664045,0.054624548,,,,,
13,206,0.000226524,0.00664045,0.054624548,,,,,
14,214,0.000226524,0.00664045,0.054624548,,,,,
15,216,0.000226524,0.00664045,0.054624548,,,,,
16,224,0.000226524,0.00664045,0.054624548,,,,,
17,257,0.000226524,0.00664045,0.054624548,,,,,
18,266,0.000226524,0.00664045,0.054624548,,,,,
19,271,0.000226524,0.00664045,0.054624548,,,,,
20,276,0.000226524,0.00664045,0.054624548,,,,,
21,330,0.000226524,0.00664045,0.054624548,,,,,
22,336,0.000226524,0.00664045,0.054624548,,,,,
23,340,0.000226524,0.00664045,0.054624548,,,,,
24,343,0.000226524,0.00664045,0.054624548,,,,,
25,375,0.000226524,0.00664045,0.054624548,,,,,
26,379,0.000226524,0.00664045,0.054624548,,,,,
27,385,0.000226524,0.00664045,0.054624548,,,,,
28,432,0.000226524,0.00664045,0.054624548,,,,,
29,453,0.000226524,0.00664045,0.054624548,,,,,
30,460,0.000226524,0.00664045,0.054624548,,,,,
31,464,0.000226524,0.00664045,0.054624548,,,,,
32,510,0.000226524,0.00664045,0.054624548,,,,,
33,516,0.000226524,0.00664045,0.054624548,,,,,
34,531,0.000226524,0.00664045,0.054624548,,,,,
35,534,0.000226524,0.00664045,0.054624548,,,,,
36,571,0.000226524,0.00664045,0.054624548,,,,,
37,586,0.000226524,0.00664045,0.054624548,,,,,
38,588,0.000226524,0.00664045,0.054624548,,,,,
39,629,0.000226524,0.00664045,0.054624548,,,,,
40,631,0.000226524,0.00664045,0.054624548,,,,,
41,647,0.000226524,0.00664045,0.054624548,,,,,
42,690,0.000226524,0.00664045,0.054624548,,,,,
43,693,0.000226524,0.00664045,0.054624548,,,,,
44,706,0.000226524,0.00664045,0.054624548,,,,,
45,722,0.000226524,0.00664045,0.054624548,,,,,
46,770,0.000226524,0.00664045,0.054624548,,,,,
47,780,0.000226524,0.00664045,0.054624548,,,,,
48,850,0.000226524,0.00664045,0.054624548,,,,,
49,857,0.000226524,0.00664045,0.054624548,,,,,
50,980,0.000226524,0.00664045,0.054624548,,,,,
51,997,0.000226524,0.00664045,0.054624548,,,,,
52,1014,0.000226524,0.00664045,0.054624548,,,,,
53,1052,0.000226524,0.00664045,0.054624548,,,,,
54,1134,0.000226524,0.00664045,0.054624548,,,,,
55,1176,0.000226524,0.00664045,0.054624548,,,,,
56,1188,0.000226524,0.00664045,0.054624548,,,,,
57,1226,0.000226524,0.00664045,0.054624548,,,,,
58,1348,0.000226524,0.00664045,0.054624548,,,,,
59,1356,0.000226524,0.00664045,0.054624548,,,,,
60,1377,0.000226524,0.00664045,0.054624548,,,,,
61,1389,0.000226524,0.00664045,0.054624548,,,,,
62,1519,0.000226524,0.00664045,0.054624548,,,,,
63,1526,0.000226524,0.00664045,0.054624548,,,,,
64,1564,0.000226524,0.00664045,0.054624548,,,,,
65,1592,0.000226524,0.00664045,0.054624548,,,,,
66,1676,0.000226524,0.00664045,0.054624548,,,,,
67,1721,0.000226524,0.00664045,0.054624548,,,,,
68,1755,0.000226524,0.00664045,0.054624548,,,,,
69,1807,0.000226524,0.00664045,0.054624548,,,,,
70,1833,0.000226524,0.00664045,0.054624548,,,,,
71,1841,0.000226524,0.00664045,0.054624548,,,,,
72,1848,0.000226524,0.00664045,0.054624548,,,,,
