,agemid,low95,median,up95,,,,,
1,42,0.000143055,0.008262918,0.078944848,,0.433599476,25.04490489,239.2818357,(%/month)
2,47,0.000143055,0.008262918,0.078944848,,,,,
3,53,0.000143055,0.008262918,0.078944848,,,,,
4,59,0.000143055,0.008262918,0.078944848,,,,,
5,85,0.000143055,0.008262918,0.078944848,,,,,
6,96,0.000143055,0.008262918,0.078944848,,,,,
7,98,0.000143055,0.008262918,0.078944848,,,,,
8,110,0.000143055,0.008262918,0.078944848,,,,,
9,141,0.000143055,0.008262918,0.078944848,,,,,
10,146,0.000143055,0.008262918,0.078944848,,,,,
11,158,0.000143055,0.008262918,0.078944848,,,,,
12,159,0.000143055,0.008262918,0.078944848,,,,,
13,206,0.000143055,0.008262918,0.078944848,,,,,
14,214,0.000143055,0.008262918,0.078944848,,,,,
15,216,0.000143055,0.008262918,0.078944848,,,,,
16,224,0.000143055,0.008262918,0.078944848,,,,,
17,257,0.000143055,0.008262918,0.078944848,,,,,
18,266,0.000143055,0.008262918,0.078944848,,,,,
19,271,0.000143055,0.008262918,0.078944848,,,,,
20,276,0.000143055,0.008262918,0.078944848,,,,,
21,330,0.000143055,0.008262918,0.078944848,,,,,
22,336,0.000143055,0.008262918,0.078944848,,,,,
23,340,0.000143055,0.008262918,0.078944848,,,,,
24,343,0.000143055,0.008262918,0.078944848,,,,,
25,375,0.000143055,0.008262918,0.078944848,,,,,
26,379,0.000143055,0.008262918,0.078944848,,,,,
27,385,0.000143055,0.008262918,0.078944848,,,,,
28,432,0.000143055,0.008262918,0.078944848,,,,,
29,453,0.000143055,0.008262918,0.078944848,,,,,
30,460,0.000143055,0.008262918,0.078944848,,,,,
31,464,0.000143055,0.008262918,0.078944848,,,,,
32,510,0.000143055,0.008262918,0.078944848,,,,,
33,516,0.000143055,0.008262918,0.078944848,,,,,
34,531,0.000143055,0.008262918,0.078944848,,,,,
35,534,0.000143055,0.008262918,0.078944848,,,,,
36,571,0.000143055,0.008262918,0.078944848,,,,,
37,586,0.000143055,0.008262918,0.078944848,,,,,
38,588,0.000143055,0.008262918,0.078944848,,,,,
39,629,0.000143055,0.008262918,0.078944848,,,,,
40,631,0.000143055,0.008262918,0.078944848,,,,,
41,647,0.000143055,0.008262918,0.078944848,,,,,
42,690,0.000143055,0.008262918,0.078944848,,,,,
43,693,0.000143055,0.008262918,0.078944848,,,,,
44,706,0.000143055,0.008262918,0.078944848,,,,,
45,722,0.000143055,0.008262918,0.078944848,,,,,
46,770,0.000143055,0.008262918,0.078944848,,,,,
47,780,0.000143055,0.008262918,0.078944848,,,,,
48,850,0.000143055,0.008262918,0.078944848,,,,,
49,857,0.000143055,0.008262918,0.078944848,,,,,
50,980,0.000143055,0.008262918,0.078944848,,,,,
51,997,0.000143055,0.008262918,0.078944848,,,,,
52,1014,0.000143055,0.008262918,0.078944848,,,,,
53,1052,0.000143055,0.008262918,0.078944848,,,,,
54,1134,0.000143055,0.008262918,0.078944848,,,,,
55,1176,0.000143055,0.008262918,0.078944848,,,,,
56,1188,0.000143055,0.008262918,0.078944848,,,,,
57,1226,0.000143055,0.008262918,0.078944848,,,,,
58,1348,0.000143055,0.008262918,0.078944848,,,,,
59,1356,0.000143055,0.008262918,0.078944848,,,,,
60,1377,0.000143055,0.008262918,0.078944848,,,,,
61,1389,0.000143055,0.008262918,0.078944848,,,,,
62,1519,0.000143055,0.008262918,0.078944848,,,,,
63,1526,0.000143055,0.008262918,0.078944848,,,,,
64,1564,0.000143055,0.008262918,0.078944848,,,,,
65,1592,0.000143055,0.008262918,0.078944848,,,,,
66,1676,0.000143055,0.008262918,0.078944848,,,,,
67,1721,0.000143055,0.008262918,0.078944848,,,,,
68,1755,0.000143055,0.008262918,0.078944848,,,,,
69,1807,0.000143055,0.008262918,0.078944848,,,,,
70,1833,0.000143055,0.008262918,0.078944848,,,,,
71,1841,0.000143055,0.008262918,0.078944848,,,,,
72,1848,0.000143055,0.008262918,0.078944848,,,,,
