,agemid,low95,median,up95,,,,,
1,42,0.000264183,0.006136559,0.074022739,,0.803379699,18.66127681,225.1031491,(%/month)
2,47,0.000264183,0.006136559,0.074022739,,,,,
3,53,0.000264183,0.006136559,0.074022739,,,,,
4,59,0.000264183,0.006136559,0.074022739,,,,,
5,85,0.000264183,0.006136559,0.074022739,,,,,
6,96,0.000264183,0.006136559,0.074022739,,,,,
7,98,0.000264183,0.006136559,0.074022739,,,,,
8,110,0.000264183,0.006136559,0.074022739,,,,,
9,141,0.000264183,0.006136559,0.074022739,,,,,
10,146,0.000264183,0.006136559,0.074022739,,,,,
11,158,0.000264183,0.006136559,0.074022739,,,,,
12,159,0.000264183,0.006136559,0.074022739,,,,,
13,206,0.000264183,0.006136559,0.074022739,,,,,
14,214,0.000264183,0.006136559,0.074022739,,,,,
15,216,0.000264183,0.006136559,0.074022739,,,,,
16,224,0.000264183,0.006136559,0.074022739,,,,,
17,257,0.000264183,0.006136559,0.074022739,,,,,
18,266,0.000264183,0.006136559,0.074022739,,,,,
19,271,0.000264183,0.006136559,0.074022739,,,,,
20,276,0.000264183,0.006136559,0.074022739,,,,,
21,330,0.000264183,0.006136559,0.074022739,,,,,
22,336,0.000264183,0.006136559,0.074022739,,,,,
23,340,0.000264183,0.006136559,0.074022739,,,,,
24,343,0.000264183,0.006136559,0.074022739,,,,,
25,375,0.000264183,0.006136559,0.074022739,,,,,
26,379,0.000264183,0.006136559,0.074022739,,,,,
27,385,0.000264183,0.006136559,0.074022739,,,,,
28,432,0.000264183,0.006136559,0.074022739,,,,,
29,453,0.000264183,0.006136559,0.074022739,,,,,
30,460,0.000264183,0.006136559,0.074022739,,,,,
31,464,0.000264183,0.006136559,0.074022739,,,,,
32,510,0.000264183,0.006136559,0.074022739,,,,,
33,516,0.000264183,0.006136559,0.074022739,,,,,
34,531,0.000264183,0.006136559,0.074022739,,,,,
35,534,0.000264183,0.006136559,0.074022739,,,,,
36,571,0.000264183,0.006136559,0.074022739,,,,,
37,586,0.000264183,0.006136559,0.074022739,,,,,
38,588,0.000264183,0.006136559,0.074022739,,,,,
39,629,0.000264183,0.006136559,0.074022739,,,,,
40,631,0.000264183,0.006136559,0.074022739,,,,,
41,647,0.000264183,0.006136559,0.074022739,,,,,
42,690,0.000264183,0.006136559,0.074022739,,,,,
43,693,0.000264183,0.006136559,0.074022739,,,,,
44,706,0.000264183,0.006136559,0.074022739,,,,,
45,722,0.000264183,0.006136559,0.074022739,,,,,
46,770,0.000264183,0.006136559,0.074022739,,,,,
47,780,0.000264183,0.006136559,0.074022739,,,,,
48,850,0.000264183,0.006136559,0.074022739,,,,,
49,857,0.000264183,0.006136559,0.074022739,,,,,
50,980,0.000264183,0.006136559,0.074022739,,,,,
51,997,0.000264183,0.006136559,0.074022739,,,,,
52,1014,0.000264183,0.006136559,0.074022739,,,,,
53,1052,0.000264183,0.006136559,0.074022739,,,,,
54,1134,0.000264183,0.006136559,0.074022739,,,,,
55,1176,0.000264183,0.006136559,0.074022739,,,,,
56,1188,0.000264183,0.006136559,0.074022739,,,,,
57,1226,0.000264183,0.006136559,0.074022739,,,,,
58,1348,0.000264183,0.006136559,0.074022739,,,,,
59,1356,0.000264183,0.006136559,0.074022739,,,,,
60,1377,0.000264183,0.006136559,0.074022739,,,,,
61,1389,0.000264183,0.006136559,0.074022739,,,,,
62,1519,0.000264183,0.006136559,0.074022739,,,,,
63,1526,0.000264183,0.006136559,0.074022739,,,,,
64,1564,0.000264183,0.006136559,0.074022739,,,,,
65,1592,0.000264183,0.006136559,0.074022739,,,,,
66,1676,0.000264183,0.006136559,0.074022739,,,,,
67,1721,0.000264183,0.006136559,0.074022739,,,,,
68,1755,0.000264183,0.006136559,0.074022739,,,,,
69,1807,0.000264183,0.006136559,0.074022739,,,,,
70,1833,0.000264183,0.006136559,0.074022739,,,,,
71,1841,0.000264183,0.006136559,0.074022739,,,,,
72,1848,0.000264183,0.006136559,0.074022739,,,,,
