,agemid,low95,median,up95,,,,,
1,42,0.000165227,0.005122159,0.05516917,,0.502456362,15.57648402,167.7694474,(%/month)
2,47,0.000165227,0.005122159,0.05516917,,,,,
3,53,0.000165227,0.005122159,0.05516917,,,,,
4,59,0.000165227,0.005122159,0.05516917,,,,,
5,85,0.000165227,0.005122159,0.05516917,,,,,
6,96,0.000165227,0.005122159,0.05516917,,,,,
7,98,0.000165227,0.005122159,0.05516917,,,,,
8,110,0.000165227,0.005122159,0.05516917,,,,,
9,141,0.000165227,0.005122159,0.05516917,,,,,
10,146,0.000165227,0.005122159,0.05516917,,,,,
11,158,0.000165227,0.005122159,0.05516917,,,,,
12,159,0.000165227,0.005122159,0.05516917,,,,,
13,206,0.000165227,0.005122159,0.05516917,,,,,
14,214,0.000165227,0.005122159,0.05516917,,,,,
15,216,0.000165227,0.005122159,0.05516917,,,,,
16,224,0.000165227,0.005122159,0.05516917,,,,,
17,257,0.000165227,0.005122159,0.05516917,,,,,
18,266,0.000165227,0.005122159,0.05516917,,,,,
19,271,0.000165227,0.005122159,0.05516917,,,,,
20,276,0.000165227,0.005122159,0.05516917,,,,,
21,330,0.000165227,0.005122159,0.05516917,,,,,
22,336,0.000165227,0.005122159,0.05516917,,,,,
23,340,0.000165227,0.005122159,0.05516917,,,,,
24,343,0.000165227,0.005122159,0.05516917,,,,,
25,375,0.000165227,0.005122159,0.05516917,,,,,
26,379,0.000165227,0.005122159,0.05516917,,,,,
27,385,0.000165227,0.005122159,0.05516917,,,,,
28,432,0.000165227,0.005122159,0.05516917,,,,,
29,453,0.000165227,0.005122159,0.05516917,,,,,
30,460,0.000165227,0.005122159,0.05516917,,,,,
31,464,0.000165227,0.005122159,0.05516917,,,,,
32,510,0.000165227,0.005122159,0.05516917,,,,,
33,516,0.000165227,0.005122159,0.05516917,,,,,
34,531,0.000165227,0.005122159,0.05516917,,,,,
35,534,0.000165227,0.005122159,0.05516917,,,,,
36,571,0.000165227,0.005122159,0.05516917,,,,,
37,586,0.000165227,0.005122159,0.05516917,,,,,
38,588,0.000165227,0.005122159,0.05516917,,,,,
39,629,0.000165227,0.005122159,0.05516917,,,,,
40,631,0.000165227,0.005122159,0.05516917,,,,,
41,647,0.000165227,0.005122159,0.05516917,,,,,
42,690,0.000165227,0.005122159,0.05516917,,,,,
43,693,0.000165227,0.005122159,0.05516917,,,,,
44,706,0.000165227,0.005122159,0.05516917,,,,,
45,722,0.000165227,0.005122159,0.05516917,,,,,
46,770,0.000165227,0.005122159,0.05516917,,,,,
47,780,0.000165227,0.005122159,0.05516917,,,,,
48,850,0.000165227,0.005122159,0.05516917,,,,,
49,857,0.000165227,0.005122159,0.05516917,,,,,
50,980,0.000165227,0.005122159,0.05516917,,,,,
51,997,0.000165227,0.005122159,0.05516917,,,,,
52,1014,0.000165227,0.005122159,0.05516917,,,,,
53,1052,0.000165227,0.005122159,0.05516917,,,,,
54,1134,0.000165227,0.005122159,0.05516917,,,,,
55,1176,0.000165227,0.005122159,0.05516917,,,,,
56,1188,0.000165227,0.005122159,0.05516917,,,,,
57,1226,0.000165227,0.005122159,0.05516917,,,,,
58,1348,0.000165227,0.005122159,0.05516917,,,,,
59,1356,0.000165227,0.005122159,0.05516917,,,,,
60,1377,0.000165227,0.005122159,0.05516917,,,,,
61,1389,0.000165227,0.005122159,0.05516917,,,,,
62,1519,0.000165227,0.005122159,0.05516917,,,,,
63,1526,0.000165227,0.005122159,0.05516917,,,,,
64,1564,0.000165227,0.005122159,0.05516917,,,,,
65,1592,0.000165227,0.005122159,0.05516917,,,,,
66,1676,0.000165227,0.005122159,0.05516917,,,,,
67,1721,0.000165227,0.005122159,0.05516917,,,,,
68,1755,0.000165227,0.005122159,0.05516917,,,,,
69,1807,0.000165227,0.005122159,0.05516917,,,,,
70,1833,0.000165227,0.005122159,0.05516917,,,,,
71,1841,0.000165227,0.005122159,0.05516917,,,,,
72,1848,0.000165227,0.005122159,0.05516917,,,,,
