,agemid,low95,median,up95
1,42,1.00E-12,1.00E-12,1.00E-12
2,47,0.000871406,0.001721401,0.007808635
3,53,0.004077682,0.0079158,0.030010094
4,59,0.009415848,0.017989779,0.058209603
5,85,0.052006985,0.091559233,0.190834292
6,96,0.068337832,0.115890853,0.224031569
7,97,0.068895309,0.116451875,0.224297328
8,109,0.077396666,0.121616388,0.225526837
9,140,0.092095608,0.137609791,0.233295985
10,146,0.093668616,0.140903905,0.233715665
11,157,0.096783647,0.147965055,0.236145176
12,159,0.097223181,0.149401719,0.23875674
13,205,0.11732017,0.174064443,0.261097732
14,214,0.122944903,0.178845145,0.26556117
15,216,0.123572876,0.180133003,0.266185919
16,224,0.124697252,0.184538796,0.268724906
17,256,0.137096092,0.200925227,0.281324611
18,266,0.139989037,0.206187501,0.287698409
19,271,0.140634894,0.208507288,0.290221044
20,276,0.145277093,0.21207642,0.294307682
21,328,0.18782815,0.259776854,0.348196247
22,336,0.19099868,0.26739679,0.36123368
23,338,0.192019849,0.269445371,0.363636616
24,340,0.193036517,0.271132654,0.367432675
25,364,0.201881843,0.290570419,0.410595836
26,374,0.26004208,0.337004678,0.437898373
27,375,0.266070819,0.341452342,0.440825381
28,382,0.305856857,0.374750466,0.460655379
29,432,0.512495009,0.564023597,0.61399644
30,444,0.546567035,0.599762199,0.647404263
31,453,0.570376101,0.624740169,0.671693079
32,464,0.583200631,0.635332125,0.682423097
33,510,0.598817264,0.64837496,0.693006103
34,513,0.599362235,0.649199367,0.69410582
35,528,0.601884887,0.652497567,0.698879239
36,565,0.611066367,0.660379679,0.709219279
37,580,0.615580572,0.663728247,0.713842945
38,581,0.615819037,0.66401368,0.714047525
39,587,0.61706128,0.665245939,0.714805451
40,628,0.623339476,0.672368319,0.723116419
41,629,0.623447813,0.672554046,0.723551358
42,639,0.625706225,0.674691078,0.726708305
43,644,0.629434392,0.676631804,0.728220555
44,680,0.64768742,0.690659602,0.745178811
45,686,0.649571162,0.692816431,0.747897302
46,699,0.65289589,0.698701268,0.754373017
47,715,0.657337071,0.704290359,0.763240196
48,768,0.737025828,0.779852525,0.828649095
49,780,0.755656697,0.798000521,0.845027492
50,786,0.76406333,0.806365109,0.851590994
51,850,0.811246273,0.852434646,0.893269302
52,980,0.823812408,0.865110188,0.905267918
53,997,0.824380452,0.86636822,0.906710154
54,1014,0.82893147,0.868461514,0.907664267
55,1052,0.83906113,0.874321688,0.914342774
56,1134,0.878528409,0.910348903,0.942794358
57,1176,0.904773418,0.933133045,0.960491351
58,1188,0.909964896,0.93783742,0.963991506
59,1226,0.912599535,0.939793331,0.965059542
60,1348,0.918239037,0.944782001,0.96806176
61,1356,0.918833906,0.945051837,0.968472686
62,1377,0.91994593,0.946001836,0.969041858
63,1389,0.92168761,0.946596976,0.969573551
64,1519,0.949697026,0.967970348,0.984005021
65,1526,0.951598781,0.96951792,0.985000892
66,1564,0.958054049,0.974765117,0.987974819
67,1592,0.959067048,0.975253472,0.988210017
68,1676,0.960804793,0.976757172,0.989135766
69,1721,0.961925532,0.9774517,0.989463301
70,1755,0.963357919,0.978201906,0.989908487
71,1806,0.965347204,0.979526491,0.990708734
72,1823,0.965979756,0.979975956,0.990872813
73,1841,0.969293467,0.982133196,0.99214667
74,1848,0.970665599,0.982998295,0.992623256
