,agemid,low95,median,up95
1,42,1.00E-12,1.00E-12,1.00E-12
2,47,1.37E-05,0.000142138,0.000681656
3,53,6.44E-05,0.000662965,0.002856533
4,59,0.000147548,0.001510432,0.005866144
5,85,0.000804911,0.008073295,0.024940018
6,96,0.00416128,0.014280439,0.037272507
7,97,0.004574642,0.015102026,0.03887532
8,109,0.008467616,0.025159883,0.064137042
9,140,0.016644206,0.053153322,0.136843861
10,146,0.018374882,0.058644022,0.152164627
11,157,0.020660508,0.068838933,0.178626049
12,159,0.021263814,0.070466935,0.183707153
13,205,0.161234571,0.222158927,0.32044124
14,214,0.204352268,0.269876858,0.35262673
15,216,0.214369235,0.280100302,0.36187941
16,224,0.24720399,0.319499055,0.393363775
17,256,0.374342019,0.454323371,0.511081404
18,266,0.406726508,0.49015801,0.550011764
19,271,0.422185904,0.507625679,0.568985131
20,276,0.431485609,0.517099071,0.579596904
21,328,0.47548246,0.534579332,0.585899204
22,336,0.480129786,0.537162515,0.587015333
23,338,0.480873435,0.537594936,0.58714301
24,340,0.481630954,0.537981496,0.587299227
25,364,0.491358723,0.546487572,0.593769151
26,374,0.496330759,0.548847686,0.595818883
27,375,0.49664565,0.549006167,0.59600451
28,382,0.498848986,0.550952967,0.59730272
29,432,0.515995663,0.564030068,0.60907474
30,444,0.520289731,0.567272783,0.613377153
31,453,0.522126235,0.569362412,0.617314998
32,464,0.527291829,0.574201535,0.622081791
33,510,0.549359972,0.598687967,0.652745639
34,513,0.550125905,0.600114786,0.655381113
35,528,0.554360425,0.607948505,0.668248631
36,565,0.609795559,0.662272582,0.719742044
37,580,0.644793243,0.697170785,0.750087091
38,581,0.64700672,0.699306677,0.752205536
39,587,0.659875043,0.711758683,0.763021354
40,628,0.732702481,0.784445894,0.831285614
41,629,0.733983527,0.785937762,0.83271264
42,639,0.747649851,0.799855263,0.847338294
43,644,0.750398556,0.800807006,0.847658887
44,680,0.76025053,0.806264274,0.849993357
45,686,0.761458177,0.807553758,0.85067358
46,699,0.763299014,0.809830355,0.851698833
47,715,0.764864678,0.812093285,0.852662118
48,768,0.772203705,0.818568487,0.85935164
49,780,0.77344261,0.819779144,0.860635174
50,786,0.774113605,0.820391483,0.861302798
51,850,0.787166181,0.830782733,0.872031258
52,980,0.867242721,0.903404002,0.934683673
53,997,0.87898665,0.914218611,0.944172343
54,1014,0.883923301,0.918868321,0.948139178
55,1052,0.887118168,0.921299167,0.949597358
56,1134,0.892851122,0.92555963,0.952826099
57,1176,0.895691493,0.927426596,0.954502975
58,1188,0.896352757,0.927987304,0.955220324
59,1226,0.901276742,0.931512676,0.957542383
60,1348,0.938409346,0.96123245,0.978877724
61,1356,0.941515165,0.963286654,0.980299729
62,1377,0.94609602,0.966632111,0.982530426
63,1389,0.946374863,0.966870546,0.982775609
64,1519,0.950021458,0.969700932,0.984553835
65,1526,0.9502505,0.969874065,0.984846033
66,1564,0.951666537,0.970856632,0.985255718
67,1592,0.953749799,0.971979655,0.985915497
68,1676,0.964494579,0.979313437,0.990236288
69,1721,0.972302486,0.984947703,0.993563645
70,1755,0.974617591,0.986491246,0.994234826
71,1806,0.975294138,0.986964942,0.994490516
72,1823,0.975487121,0.987114914,0.994581969
73,1841,0.975731668,0.987209824,0.994695409
74,1848,0.97587454,0.987234956,0.994706454
